"Date","Close","RSI rsi (14)","MACD macd (12,26,9)","Signal macd (12,26,9)","macd (12,26,9)_hist"
"11/16/2025","26,386.0000","66.2713","112.6498","139.1423","-26.4924"
"11/23/2025","26,335.0000","61.2051","106.4567","132.6052","-26.1485"
"11/30/2025","26,325.0000","60.2328","99.5936","126.0028","-26.4092"
"12/7/2025","26,307.0000","58.4334","91.6457","119.1314","-27.4857"
"12/14/2025","26,270.0000","54.8088","81.4227","111.5897","-30.1670"
"12/21/2025","26,260.0000","53.8368","71.6876","103.6093","-31.9216"
"12/28/2025","26,300.0000","57.1131","66.4344","96.1743","-29.7399"
"1/4/2026","26,230.0000","50.3752","55.9775","88.1349","-32.1575"
"1/11/2026","26,240.0000","51.2598","47.9445","80.0968","-32.1523"
"1/18/2026","26,210.0000","48.4684","38.7113","71.8197","-33.1084"
"1/25/2026","25,885.0000","29.6383","5.1103","58.4778","-53.3675"
"2/1/2026","25,905.0000","31.4044","-19.6781","42.8467","-62.5248"
"2/8/2026","25,925.0000","33.2099","-37.2795","26.8214","-64.1009"
"2/15/2026","25,925.0000","33.2099","-50.6450","11.3281","-61.9731"
"2/22/2026","26,045.0000","43.5489","-50.9667","-1.1308","-49.8358"
"3/1/2026","26,195.0000","53.2837","-38.6721","-8.6391","-30.0330"
"3/8/2026","26,275.0000","57.4938","-22.2171","-11.3547","-10.8624"
"3/15/2026","26,290.0000","58.2535","-7.8752","-10.6588","2.7835"
"3/22/2026","26,325.0000","60.0477","6.2430","-7.2784","13.5214"
"3/29/2026","26,323.0000","59.8893","17.0736","-2.4080","19.4817"
"4/5/2026","26,341.0000","60.8893","26.8005","3.4337","23.3668"
"4/12/2026","26,318.0000","58.8697","32.2811","9.2032","23.0779"
"4/19/2026","26,354.0000","61.0475","39.0789","15.1783","23.9006"
"4/26/2026","26,355.0000","61.1091","44.0393","20.9505","23.0888"
"5/3/2026","26,310.0000","56.7592","43.8340","25.5272","18.3068"
"5/10/2026","26,352.0000","59.6464","46.5240","29.7266","16.7975"
"5/17/2026","26,352.0000","59.6464","48.1014","33.4015","14.6999"
"5/24/2026","26,283.0000","52.9147","43.2848","35.3782","7.9066"
"5/31/2026","26,300.0000","54.2837","40.3740","36.3774","3.9967"
"6/7/2026","26,255.0000","50.1289","34.0436","35.9106","-1.8670"
"6/14/2026","26,332.0000","56.2933","34.8384","35.6962","-0.8578"
"6/21/2026","26,277.0000","51.4055","30.6766","34.6922","-4.0157"
"6/28/2026","26,295.0000","52.8485","28.5022","33.4542","-4.9520"
"7/5/2026","26,264.0000","50.0899","24.0009","31.5636","-7.5627"
