"Date","Price","Open","High","Low","Vol.","Change %"
"27/02/2022","0.06949000","0.06966000","0.06976000","0.06946500","","-0.14%"
"20/02/2022","0.06959000","0.06963500","0.06985500","0.06948500","","-0.26%"
"13/02/2022","0.06977000","0.06968000","0.07019000","0.06965500","","0.14%"
"06/02/2022","0.06967000","0.06950000","0.06977500","0.06939500","","0.20%"
"30/01/2022","0.06953000","0.06941500","0.07001000","0.06938000","","0.06%"
"23/01/2022","0.06949000","0.06985500","0.06990500","0.06946500","","-0.34%"
"16/01/2022","0.06973000","0.06986500","0.06997000","0.06955000","","-0.29%"
"09/01/2022","0.06993000","0.06986000","0.07008500","0.06971500","","0.43%"
"02/01/2022","0.06963000","0.07014500","0.07017500","0.06942000","","-0.74%"
"26/12/2021","0.07015000","0.07029500","0.07038000","0.06998500","","-0.23%"
"19/12/2021","0.07031000","0.06950000","0.07052000","0.06947500","","1.05%"
"12/12/2021","0.06958000","0.06964500","0.06985500","0.06948000","","0.03%"
"05/12/2021","0.06956000","0.06925000","0.06988000","0.06920500","","0.17%"
"28/11/2021","0.06944000","0.06958500","0.06996000","0.06938000","","-0.66%"
"21/11/2021","0.06990000","0.07019500","0.07024500","0.06970500","","-0.46%"
"14/11/2021","0.07022000","0.07034500","0.07048000","0.07006000","","-0.01%"
"07/11/2021","0.07023000","0.06980500","0.07031500","0.06976500","","0.64%"
"31/10/2021","0.06978000","0.07049500","0.07049500","0.06947500","","-1.12%"
"24/10/2021","0.07057000","0.07059500","0.07070500","0.07034000","","-0.31%"
"17/10/2021","0.07079000","0.07112000","0.07122000","0.07057000","","-0.34%"
"10/10/2021","0.07103000","0.07034500","0.07111000","0.07027000","","1.05%"
"03/10/2021","0.07029000","0.06989000","0.07043000","0.06974500","","0.59%"
"26/09/2021","0.06988000","0.07012000","0.07018500","0.06975500","","-0.34%"
"19/09/2021","0.07012000","0.07007500","0.07027500","0.06999000","","-0.21%"
"12/09/2021","0.07027000","0.07019500","0.07045500","0.07001500","","-0.17%"
"05/09/2021","0.07039000","0.07018500","0.07049500","0.06998500","","0.41%"
"29/08/2021","0.07010000","0.06941500","0.07016000","0.06923500","","1.10%"
"22/08/2021","0.06934000","0.06927000","0.06954500","0.06921000","","0.23%"
"15/08/2021","0.06918000","0.06948500","0.06958000","0.06903000","","-0.45%"
"08/08/2021","0.06949000","0.06958500","0.06964500","0.06939500","","-0.24%"
"01/08/2021","0.06966000","0.06913000","0.06990500","0.06909000","","0.77%"
"25/07/2021","0.06913000","0.06891500","0.06927000","0.06885500","","0.22%"
"18/07/2021","0.06898000","0.06890000","0.06904500","0.06867500","","0.03%"
"11/07/2021","0.06896000","0.06903000","0.06916000","0.06875500","","0.20%"
